stepsToClean,cleanPercentage,totalMovements,maxTimeReached,totalSteps,numAgents,agentType,repetition,success,movementsPerAgent
,87.16666666666667,459,True,500,1,random,77,False,459.0
,87.5,424,True,500,1,random,78,False,424.0
,86.33333333333333,462,True,500,1,random,79,False,462.0
,89.5,430,True,500,1,random,80,False,430.0
,89.5,443,True,500,1,random,81,False,443.0
,89.33333333333333,438,True,500,1,random,82,False,438.0
,88.83333333333333,445,True,500,1,random,83,False,445.0
,88.66666666666667,439,True,500,1,random,84,False,439.0
,88.16666666666667,435,True,500,1,random,85,False,435.0
,87.0,445,True,500,1,random,86,False,445.0
,87.33333333333333,453,True,500,1,random,87,False,453.0
,88.16666666666667,457,True,500,1,random,88,False,457.0
,88.16666666666667,434,True,500,1,random,89,False,434.0
,88.33333333333333,466,True,500,1,random,90,False,466.0
,88.5,448,True,500,1,random,91,False,448.0
,88.5,460,True,500,1,random,92,False,460.0
,88.5,440,True,500,1,random,93,False,440.0
,88.5,445,True,500,1,random,94,False,445.0
,86.83333333333333,438,True,500,1,random,95,False,438.0
,88.83333333333333,435,True,500,1,random,96,False,435.0
,87.5,450,True,500,1,random,97,False,450.0
,87.33333333333333,448,True,500,1,random,98,False,448.0
,88.33333333333333,425,True,500,1,random,99,False,425.0
,92.16666666666666,885,True,500,2,random,0,False,442.5
,93.16666666666666,901,True,500,2,random,1,False,450.5
,93.33333333333333,910,True,500,2,random,2,False,455.0
,94.33333333333334,888,True,500,2,random,3,False,444.0
,92.66666666666666,882,True,500,2,random,4,False,441.0
,93.0,876,True,500,2,random,5,False,438.0
,92.5,911,True,500,2,random,6,False,455.5
,91.66666666666666,900,True,500,2,random,7,False,450.0
,93.5,856,True,500,2,random,8,False,428.0
,92.66666666666666,885,True,500,2,random,9,False,442.5
,89.83333333333333,909,True,500,2,random,10,False,454.5
,91.33333333333333,845,True,500,2,random,11,False,422.5
,90.5,900,True,500,2,random,12,False,450.0
,93.0,917,True,500,2,random,13,False,458.5
,90.66666666666666,903,True,500,2,random,14,False,451.5
,91.83333333333333,841,True,500,2,random,15,False,420.5
,90.83333333333333,899,True,500,2,random,16,False,449.5
,92.33333333333333,917,True,500,2,random,17,False,458.5
,91.5,900,True,500,2,random,18,False,450.0
,91.33333333333333,933,True,500,2,random,19,False,466.5
,92.33333333333333,906,True,500,2,random,20,False,453.0
,92.16666666666666,819,True,500,2,random,21,False,409.5
